ID;Status;Type;Lenght;Managed by;Municipality;Google Maps;Geographical coordinates;Geo Shape
197;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.845815265789%2C4.455823149528255;50.845815265789, 4.455823149528255;"{""coordinates"": [4.455823149528255, 50.845815265789], ""type"": ""Point""}"
198;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84021911572583%2C4.441026542165236;50.84021911572583, 4.441026542165236;"{""coordinates"": [4.441026542165236, 50.84021911572583], ""type"": ""Point""}"
208;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84969169191284%2C4.453273241747839;50.84969169191284, 4.453273241747839;"{""coordinates"": [4.453273241747839, 50.84969169191284], ""type"": ""Point""}"
211;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.8513941945247%2C4.450069463804144;50.8513941945247, 4.450069463804144;"{""coordinates"": [4.450069463804144, 50.8513941945247], ""type"": ""Point""}"
219;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84401427944372%2C4.429319900834269;50.84401427944372, 4.429319900834269;"{""coordinates"": [4.429319900834269, 50.84401427944372], ""type"": ""Point""}"
222;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84374503990143%2C4.444013742883969;50.84374503990143, 4.444013742883969;"{""coordinates"": [4.444013742883969, 50.84374503990143], ""type"": ""Point""}"
235;active;Voirie;2.0;Régional;Uccle Ukkel;https://www.google.com/maps/search/?api=1&query=50.820332133009344%2C4.3137260465567255;50.820332133009344, 4.3137260465567255;"{""coordinates"": [4.313726046556726, 50.820332133009344], ""type"": ""Point""}"
242;active;Trottoir;1.8;Régional;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84883873602604%2C4.369466953749264;50.84883873602604, 4.369466953749264;"{""coordinates"": [4.369466953749264, 50.84883873602604], ""type"": ""Point""}"
255;active;Voirie;1.8;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.816362815491686%2C4.3752494978160446;50.816362815491686, 4.3752494978160446;"{""coordinates"": [4.375249497816045, 50.816362815491686], ""type"": ""Point""}"
256;active;Voirie;2.0;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.813780100896025%2C4.377517816358022;50.813780100896025, 4.377517816358022;"{""coordinates"": [4.377517816358022, 50.813780100896025], ""type"": ""Point""}"
